"Modelo","Variable","Media","SD","IC_2.5","IC_97.5","Significativo_95"
"Base S.glm","(Intercept)",0.707791421682636,0.00819554809782616,0.691453778087581,0.723683268046414,TRUE
"Base S.glm","area_km2_z",-0.0415653731296676,0.00953960010971002,-0.0605683996849813,-0.0228262236632298,TRUE
"Base S.glm","Beta_media_z",0.0237774929002994,0.00946102489623807,0.00519687702426836,0.0419495186646963,TRUE
"Base S.glm","Beta_std_z",0.106294273085506,0.0106932201534948,0.0854825836648337,0.127238269361026,TRUE
"Leroux","(Intercept)",0.707764488831612,0.00609523643851358,0.69568836869961,0.71980540313,TRUE
"Leroux","area_km2_z",-0.0418436637610143,0.00962710275484593,-0.0606167030456891,-0.0229701505305867,TRUE
"Leroux","Beta_media_z",0.0258475309836553,0.0106586619483573,0.00513560579313546,0.0471987076839057,TRUE
"Leroux","Beta_std_z",0.104943911761953,0.0115974233000515,0.0822207409880544,0.128055379281818,TRUE
"ICAR","(Intercept)",0.707873430456982,0.0064375235210426,0.695174090255984,0.72059969626994,TRUE
"ICAR","area_km2_z",-0.0445891639088675,0.00966533921801848,-0.0635646624892059,-0.0256740674791509,TRUE
"ICAR","Beta_media_z",0.030753455853301,0.0114843088060951,0.00780767733279045,0.0528894456817676,TRUE
"ICAR","Beta_std_z",0.10318556778308,0.011795187526699,0.0802502610870625,0.126731204163318,TRUE
